Question,Category
 Tell me about a time where you used logic to solve a problem.,Leadership
" Tell me about a decision you made that proved unpopular, and how you handled it.",Leadership
 How do you handle your schedule being interrupted?,Leadership
 Have you ever had to convince a team to work on a project they didn’t like? How did you do it?,Leadership
 Have you had to solve a squabble between two team members? How did you do it?,Leadership
" Have you ever gone to bat for your team in opposition to a higher-up in your company? How did you do it, and how did it work out?",Leadership
 How would you go about motivating a team member who is struggling?,Leadership
 Have you ever had to make a risky decision? How did it turn out?,Leadership
 How would you handle a team member who failed to reach their goals?,Leadership
 How do you prioritize your projects?,Leadership
 Tell me about a time you solved a problem in a creative or unorthodox way.,Leadership
 How do you prioritize service to a large number of clients at the same time?,Leadership
 Tell me about a time where you were the resident expert. Did people trust you?,Leadership
 Do you consider yourself to be better with written or verbal communication?,Leadership
 What makes an ideal team member in your eyes?,Leadership
 Tell me about a time you’ve had to put together a team; how did you choose your candidates?,Leadership
 Have you been in a situation where you disagree with a company policy? How do you handle it?,Teamwork
 What do you do if a team member on your project isn’t pulling their weight?,Teamwork
 How do you find motivation for a project you’re not enthused to work on?,Teamwork
 Give an example of a successful moment as part of a team.,Teamwork
 Give an example of an unsuccessful moment as part of a team.,Teamwork
 How do you handle your team being reprimanded for something you didn’t do?,Teamwork
 Give an example of a difficult situation with a team member you’ve had to solve.,Teamwork
 What do you do if your team disagrees with your manager’s decisions?,Teamwork
 What would you do if your team was waiting on another department dragging their heels?,Teamwork
 What would you do if your team is stuck waiting for a vendor response?,Teamwork
 Tell me about a time you’ve had to work with a teammate with a very different personality from your own.,Teamwork
 Tell me about a time you’ve wished you handled a situation differently.,Teamwork
 Tell me about a time you were stressed at work and how you handled it.,Stress and Adaptability
 Describe a time where you worked under pressure for a short time.,Stress and Adaptability
 Describe a time where you worked under pressure for an extended period.,Stress and Adaptability
 Tell me what you do when presented with a deadline that seems too short.,Stress and Adaptability
 How do you handle interruptions when you’re under a time constraint?,Stress and Adaptability
 Have you ever had to hand off a stressful situation to a coworker or supervisor?,Stress and Adaptability
 Have you ever been faced with an important decision and not had enough information to make it? What did you do?,Stress and Adaptability
 You have to make an important decision in a short time constraint; how do you make it?,Stress and Adaptability
" Tell me about a time you’ve experienced a major setback, and how you handled it.",Stress and Adaptability
" Tell me about a time you’ve had to get information or resources from someone who isn’t very responsive, and how you handled it.",Stress and Adaptability
 Tell me about a time where you had to extricate yourself from a tricky situation.,Stress and Adaptability
" When time is running out, how do you decide what to cut from your to-do list?",Stress and Adaptability
" Have you ever had to give a presentation, and how did it go?",Stress and Adaptability
 Tell us about a time you felt defeated in your job. How did you handle it?,Stress and Adaptability
" What is the costliest mistake you’ve made at your job, and what happened because of it?",Stress and Adaptability
" What is one example of a goal you achieved, and how did you work to achieve it?",Goals and Ambition
 Tell me about a time you went above and beyond your job duties.,Goals and Ambition
 Have you been passed over for a promotion? How did you react?,Goals and Ambition
 Have you struggled to reach a goal and failed? How did you handle it?,Goals and Ambition
 How do you set goals in a way that facilitates achieving them?,Goals and Ambition
 What do you do when you finish your work and the day isn’t over yet?,Goals and Ambition
 How would you go about seeking out an additional certification for your career?,Goals and Ambition
 Have you ever had the opportunity to talk to your CEO? What did you talk about?,Goals and Ambition
 What would you discuss if you could talk to our upper management today?,Goals and Ambition
 What do you do when you need to make a good impression with a new customer?,Goals and Ambition
 What do you do when you need to make a good impression with management?,Goals and Ambition
 What would you do if you were chosen to represent the company at a trade show?,Goals and Ambition
 What do you do if your job training is going poorly?,Goals and Ambition
 What do you do if you want more training than what your job is providing you?,Goals and Ambition
 Have you ever had to take over for your boss? Is it something you would prefer to do?,Goals and Ambition
