Question,Category,Sample
 Tell me about a time where you used logic to solve a problem.,Leadership,"This is my first job application, so I do not have much experience with solving problems at work. However, I solved a lot of mathematical problems with the help of logic, during my lessons in statistical analysis and time row analysis. I must say that I enjoy thinking and using logic to solve a problem, instead of asking someone for help or looking for the most simple solution on Google. That�s not a way to grow intellectually, and to become the best version of yourself, which is a goal I aspire to."
" Tell me about a decision you made that proved unpopular, and how you handled it.",Leadership,"At my previous job, I was put in charge of a project that involved overseeing a small team of coworkers. It was a rather large project that could greatly influence our clients' view of the company, and it needed to be finished in a short period of time. Unfortunately, we did not have enough time during the week to finish the project, and I realized that we would have to temporarily come in for a few hours on Saturdays in order to complete our tasks. When I delivered the news, many of my coworkers complained and developed resentment for me. Despite their initial misgivings, we finished the project ahead of time and managed to attract several new clients in the process. I knew that my coworkers would be temporarily upset, but I kept the prospect of attracting new clients in mind the entire time."
 How do you handle your schedule being interrupted?,Leadership,"Having worked in consulting for almost 2 years and half of it being remote, I definitely have had to become more flexible in my schedule. On a typical day, I do have a list of things I need to accomplish and do allow for an extra 15 minutes here and there to account for periods where I may be interrupted. I also try to keep open commuication of what I'm up to with my direct supervisors and coworkers so people are aware of what is going on with my schedule. I think by being proactice and maintaining constant communication, it becomes easier."
 Have you ever had to convince a team to work on a project they didn’t like? How did you do it?,Leadership,"Yes, I had. When I was working in Amazon as penetration testing team leader. We conducted social engineering penetration testing to test the employees� awareness by sending phishing emails that notified us if the employee open the malicious file. One of the team member refused to participate with us because she thought this is illegal since the employees are not aware to the test. I convinced her by explaining the importance of the test to the employees themselves to protect their information and for the organization as well. "
 Have you had to solve a squabble between two team members? How did you do it?,Leadership,"Yes, during one of my group projects at VCU I had two team members argue about which topic to choose. They both felt very passionate about their topics and it was becoming increasingly disruptive. I resolved the conflict by having them both pitch their ideas to the rest of the group and after that, have the group take an anonymous survey to decide what one to proceed with."
" Have you ever gone to bat for your team in opposition to a higher-up in your company? How did you do it, and how did it work out?",Leadership,"Yes, during my time at Bode Technology my supervisor had begun frustrated with the pace new trainees had been sampling. In our conversation, it became apparent that she had not been aware that the lab wasn't getting the tools they needed to sample in a timely manner. I decided to walk through some of the limitations our team has had and work with her to set up an advisory committee. This advisory committee helped enhance the communication between leadership and allowed for more transparency in the company."
 How would you go about motivating a team member who is struggling?,Leadership,"The way I have gone about this in the past is by listening to my team members concerns. As a student orientation leader at my university, I encoountered some coworkers that had felt drained by their students and felt unable to stay positive during the long hours. It was really easy for my team members to feel jealous of more experienced workers and created a jealous environment. I admitted I also felt the same way sometimes and gave them tips on how to stay engaged. I think by letting them knnow I have also experienced that made them feel more assured that what they were going through was normal, which helped them to get out of that very negative headspace that was hindering them. Everyone struggles, but helping people realize they are not alone in that helps build confidence."
 Have you ever had to make a risky decision? How did it turn out?,Leadership,"Absolutely, a risky decision for me was deciding to quit my job and pursue my master's degree at GMU in a new field. I came to realize that I was limiting myself and not allowing myself to be challenged. Although I really enjoyed working at Bode Technology and I did not having a backup job to support myself, it was economically risky and a very stressful decision to make. At the end of the day, I knew that I loved learning and research, this is a new field but I trusted my ability to make a decision for myself. It worked out better than I expected, I was still able to create a positive impact impact and make my own unique path."
 How would you handle a team member who failed to reach their goals?,Leadership,"I personally, have only been on the receiving end of this but when my goals and performances were discussed I would want someone to first ask me what my goals are and my opinion. At Bode Technology, I appreciated when superiors would listen to what my goals were and we could colloborate on how to get me there. Priotizing that team member's goals and how it translates to the work being done or the client's mission is important to highlight. At the end of the day, what matters is how we can get a team members ability to align with the work. I have always appreciated an honest critique if my personal goals have perhaps pivoted."
 How do you prioritize your projects?,Leadership,"I begin by collecting a list of all the tasks needed to be done and denote each one based on level of urgency, approximate time, and value it pertains to the company. Priotizing project also comes down to just being flexible and open about your personal bandwith. At Lynch Consultants LLC, I was often on multiple engagements at once and what really helped my team was me constantly communicating where I was at and being realistic on what was do-able. It made a huge difference in my ability to prioritize projects."
 Tell me about a time you solved a problem in a creative or unorthodox way.,Leadership,"When I was a forensic scientist at Bode Technology, we often found discrepancies between what supplies were being ordered compared to what was actually needed. Two employees were in charge of ordering for the two lab rooms, however, since they were promoted they were no longer in the rooms using the supplies. Since some techniques had changes since they were in these roles, we needed a different number of plates et certera. I proposed a new system of ordering things where each room designates an person to order for their lab who does actively work in the room and we keep a spreadsheet up-to-date of what each person needs because we had some employees who worked in the evenings who did not get to voice their opinions either. This helped alleviate the workload of the former technologists and ensured the ordering process had more accuracy. This also allowed us to work more efficiently since we no longer had to stop to grab supplies in between work flows."
 How do you prioritize service to a large number of clients at the same time?,Leadership,"This can be done by determining those clients  who are with special needs like handicapped and elderly. Also clients with urgent needs might be in the first priority. In general, the priority should be determined  based on the type of the provided service and the requirements of the business ."
 Tell me about a time where you were the resident expert. Did people trust you?,Leadership,"After I lived in Virginia for four years , three of my friends came ,and I was the resident expert who I had connection with many residential companies. So, I helped them and show them how to perform the required tasks or job. They all trusted me and appreciated what I did with them "
 Do you consider yourself to be better with written or verbal communication?,Leadership,"I am better with verbal communication because my hand writing is not good enough. I also believe that verbal communication is faster. However, this does not mean that writing communication is not important. In fact, I am always required to use writing communication with other departments. "
 What makes an ideal team member in your eyes?,Leadership,"The ideal team members are the team with high communication skills. Also, the team with high goal directed effort. Another characteristics might be the efficiency  in doing the required tasks or job. Contribution among the team members is also required and important feature in the ideal team. "
 Tell me about a time you’ve had to put together a team; how did you choose your candidates?,Leadership,"I gathered a teaching team for junior students. I was looking for qualified and skilled people who has passion to teach. Also, I was looking for people who have good student reviews from previous teaching sessions. I also meet each candidate to ensure that the team only include the qualified members"
 Have you been in a situation where you disagree with a company policy? How do you handle it?,Teamwork,"Yes I disgreed about the management of the flow of the costumers, I reached out to the general manger and I gave my opnion. My opnion was based on daily direct contact with costumers. My suggtion was well respected but it needed extra finicial effort from the company "
 What do you do if a team member on your project isn’t pulling their weight?,Teamwork,I try to talk about it with my teammate and over my help and the team's help. Find out the reasons behind it because this way we can have the solution for that. Emphasize the teamwork importance and how to apply it.
 How do you find motivation for a project you’re not enthused to work on?,Teamwork,Find the areas of interest to me in the project and try to work on them. I think about the team's productivity the benefits of the project rather than been inactive. Use the best of my ability to adapt to this situation. 
 Give an example of a successful moment as part of a team.,Teamwork,"I worked as a group leader and was able to apply new and more effective communication tools. I was able to make goals for each team member to keep them much more focused. I created and coordinated fun times for the team, strengthening the relationship between the group members and increase their productivity. "
 Give an example of an unsuccessful moment as part of a team.,Teamwork,"I was in a studying group, and I was not having a good understanding of the subject. I was not as effective and productive as I wanted to be. The main reason for that situation was an external stress factor that impacted my ability to focus as a team member. "
 How do you handle your team being reprimanded for something you didn’t do?,Teamwork,"The first step I do not take any criticism personally. Then I try to think about what was said to me from multiple angles to evaluate that criticism's quality. In the last step, I try to do the task differently then get feedback about it from the team members."
 Give an example of a difficult situation with a team member you’ve had to solve.,Teamwork,"We worked as a group to solve a highly complex accounting problem. Even after spending 4 hours, we were unable to solve it. I suggested to the group that we should take a break then try to solve the problem the next day with fresh minds, but tomorrow, before we get deep in solving the problem, we have to start from scratches as I thought that our solution was based on wrong groundworks "
 What do you do if your team disagrees with your manager’s decisions?,Teamwork,"I will try to build safe communication tools between the manager and the rest members of the team. I will ensure that the communication gets conducted toward solving the problem and nothing to be taken personally. Evaluate the result of my effort to solve the issue between the manager and the team member, escalate to the upper managers if needed."
 What would you do if your team was waiting on another department dragging their heels?,Teamwork,Create an environment of competition between departments. Use different motivation strategies within the team. Each team members will have a different motivation strategy based on the personality and the position  
 What would you do if your team is stuck waiting for a vendor response?,Teamwork,"The best approach to handle this issue is giving an advice about time management strategy to best utilize that time. Time management will help in getting prepared for future challenges and the handling of any response from the vendor. Also, I will try to contact the vendor to see the reason of the delay or if anything can be done to speed the process.   	 "
 Tell me about a time you’ve had to work with a teammate with a very different personality from your own.,Teamwork,"I have to find any in common things between my teammate and me even if that common thing is outside the scope of the work. I think this the hook to establish a good relationship. After that, I try to adapt as much as possible to my teammate's personality. "
 Tell me about a time you’ve wished you handled a situation differently.,Teamwork,"Most of the time, when I think about handling situations differently, I think about anger moments. I believe most decisions  I took while being angry were bad decisions. What I learned is never take a significant decision when I'm mad."
 Tell me about a time you were stressed at work and how you handled it.,Stress and Adaptability,"The first step is getting out of 10 min break and leave the work environment to have some fresh air. Then I call someone I trust to talk about it. Generally, this strategy helps me overcome some stressful moments at work. "
 Describe a time where you worked under pressure for a short time.,Stress and Adaptability,"When I had to work outside of my hometown, and I know at the same time that one of my brothers is sick. This was very stressful as separating emotions from being focused at work is difficult."
 Describe a time where you worked under pressure for an extended period.,Stress and Adaptability,"When I worked outside my country for five years, I did not have the chance to see my family for five years. Fortunately, technology helped me to see them through my phone. After my work, I always have the opportunity to see them and tell them about the good things I'm doing at work, which kept me motivated   "
 Tell me what you do when presented with a deadline that seems too short.,Stress and Adaptability,"That is a very common senario. I think foucsing on the main goal is the key. Then, I have priotrized task list. After that, I Idenitfy the the areas of weaknesses, and I try to modifed to better meet the main goal "
 How do you handle interruptions when you’re under a time constraint?,Stress and Adaptability,"I will try to have the appropriate environment to accomplish the task. Then notify people around me about the time constraints for the given task. So this way, I expect fewer interruptions to happen.  "
 Have you ever had to hand off a stressful situation to a coworker or supervisor?,Stress and Adaptability,"Yes, If I have to do that, It should be something significant or something that was not able to fix without the help of a coworker or supervisor. One of the benefits of working in a team is to have coworkers help during stressful situations. "
 Have you ever been faced with an important decision and not had enough information to make it? What did you do?,Stress and Adaptability,"Yes, I had this experience in my first job in George Washington Hospital. I tried to gather as much information as possible. After that, I decided on the safest decision. When It comes to a decision where I have to lose something, I focus on getting as minimal loss as possible. "
 You have to make an important decision in a short time constraint; how do you make it?,Stress and Adaptability,"First, I focus on the goal of decision.  Second, I think about few decisions. Then, I compare them. After that, I see which one of those decisions will meet the purpose of that goal better. I also will ensure that the decision meets the business goal and mission. "
" Tell me about a time you’ve experienced a major setback, and how you handled it.",Stress and Adaptability,"I try to think about the situation differently where I have to use my skills to find out-of-the-box ideas. Seeking help from my coworkers is another way to deal with the situation, especially those who had more experience.  "
" Tell me about a time you’ve had to get information or resources from someone who isn’t very responsive, and how you handled it.",Stress and Adaptability,I tried to explain how vital is this information to me. Then try to understand why there is this kind of delay as this will help to handle the situation better. The last option is to involve my supervisor to get the needed help. 
 Tell me about a time where you had to extricate yourself from a tricky situation.,Stress and Adaptability,"When I traveled to a new place, I had to find a good tourism package. Some people were trying to give me the package at a much higher price than usual. I called one of my friends who used to live in the area, and I asked him about the regular prices and where to go after I followed his recommendations, I was delighted with the costs and the service provided. "
" When time is running out, how do you decide what to cut from your to-do list?",Stress and Adaptability,"I make a new list, but this time with priority numbers. Then I will try to focus and accomblish priority one tasks. after that, I will evaluate if I can move forward to priority two tasks or not. "
" Have you ever had to give a presentation, and how did it go?",Stress and Adaptability,"Yes, the presentation was about the privacy concerns on social media websites. I included multiple facts about the data breach and hackers who had access to thousands of users. Then I gave my recommendation on what is the best ways to protect your information. "
 Tell us about a time you felt defeated in your job. How did you handle it?,Stress and Adaptability,"I called my manager, and I explained the situation. I also explained my strength and weaknesses during that situation to get better advice. After that, I think about what are the things that I can learn from such a situation to help me in the future. "
" What is the costliest mistake you’ve made at your job, and what happened because of it?",Stress and Adaptability,"A mistake that caused the company to lose a significant amount of money. I had multiple meetings with different managers at the institution to talk about the situation. My mistake was like a lesson to my coworkers and me as well. Then because of that mistake, I had a cut in my salary, and I had to go for special training to handle that situation better in the future. "
" What is one example of a goal you achieved, and how did you work to achieve it?",Goals and Ambition,"While at Instantly, I was promoted 3 times and breached the position of Regional Secretary to the Vice Chancellor. My initial goal was to learn as much as I could in the organization, since I joined straight out of school. But eventually I fell in love with the industry, and the people I met at Instantly were some of the brightest I know."
 Tell me about a time you went above and beyond your job duties.,Goals and Ambition,"I am a go-getter, and I often have this happen. At my previous job as Assistant to the Regional Manager, there were several times during the year that I had the opportunity to cover the managers responsibilities. I relished being in charge, and it truly helped me feel alive. I would take up the position again in a heartbeat."
 Have you been passed over for a promotion? How did you react?,Goals and Ambition,"It has happened to me, but I understand it is a difficult position to be in for a manager. I took it as a signal that I needed to shore up some more skills, keep working hard and that my time would come. This was how I was promoted 3 times while working at Acer."
 Have you struggled to reach a goal and failed? How did you handle it?,Goals and Ambition,"I think it is pretty common for this to happen� after all, we are all human. But the important part is making sure that you can figure out what happened, and work around the issue. While I worked at Michaels, we often had goal building sessions. It was very helpful to see what others were working on and how they dealt with failure and success."
 How do you set goals in a way that facilitates achieving them?,Goals and Ambition,"Being realistic is very important. Dreaming big has its place, but you have to be able to justify that thought with an actionable plan. While I worked at Ross, I would always encourage our store employees to contribute to their retirement plans, because those big dreams are much easier to achieve when you make small consistent steps towards the goal."
